city_name,country_name,country_code,state_name,city_full_name,state_id,city_id
Shanghai,China,CN,Shanghai,"Shanghai, Shanghai",,
Guangzhou,China,CN,Guangdong,"Guangzhou, Guangdong",,
Beijing,China,CN,Beijing,"Beijing, Beijing",,
Shenzhen,China,CN,Guangdong,"Shenzhen, Guangdong",,
Chengdu,China,CN,Sichuan,"Chengdu, Sichuan",,
Baoding,China,CN,Hebei,"Baoding, Hebei",,
Tianjin,China,CN,Tianjin,"Tianjin, Tianjin",,
Linyi,China,CN,Shandong,"Linyi, Shandong",,
Shijiazhuang,China,CN,Hebei,"Shijiazhuang, Hebei",,
Zhengzhou,China,CN,Henan,"Zhengzhou, Henan",,
Nanyang,China,CN,Henan,"Nanyang, Henan",,
Wuhan,China,CN,Hubei,"Wuhan, Hubei",,
Handan,China,CN,Hebei,"Handan, Hebei",,
Weifang,China,CN,Shandong,"Weifang, Shandong",,
Zhoukou,China,CN,Henan,"Zhoukou, Henan",,
Ganzhou,China,CN,Jiangxi,"Ganzhou, Jiangxi",,
Tongshan,China,CN,Jiangsu,"Tongshan, Jiangsu",,
Heze,China,CN,Shandong,"Heze, Shandong",,
Chongqing,China,CN,Chongqing,"Chongqing, Chongqing",,
Fuyang,China,CN,Anhui,"Fuyang, Anhui",,
Changsha,China,CN,Hunan,"Changsha, Hunan",,
Dongguan,China,CN,Guangdong,"Dongguan, Guangdong",,
Jining,China,CN,Shandong,"Jining, Shandong",,
Jinan,China,CN,Shandong,"Jinan, Shandong",,
Foshan,China,CN,Guangdong,"Foshan, Guangdong",,
Nanjing,China,CN,Jiangsu,"Nanjing, Jiangsu",,
Changchun,China,CN,Jilin,"Changchun, Jilin",,
Tangshan,China,CN,Hebei,"Tangshan, Hebei",,
Cangzhou,China,CN,Hebei,"Cangzhou, Hebei",,
Hefei,China,CN,Anhui,"Hefei, Anhui",,
Shaoyang,China,CN,Hunan,"Shaoyang, Hunan",,
Zhanjiang,China,CN,Guangdong,"Zhanjiang, Guangdong",,
Shangqiu,China,CN,Henan,"Shangqiu, Henan",,
Nantong,China,CN,Jiangsu,"Nantong, Jiangsu",,
Yancheng,China,CN,Jiangsu,"Yancheng, Jiangsu",,
Nanning,China,CN,Guangxi,"Nanning, Guangxi",,
Hengyang,China,CN,Hunan,"Hengyang, Hunan",,
Zhumadian,China,CN,Henan,"Zhumadian, Henan",,
Shenyang,China,CN,Liaoning,"Shenyang, Liaoning",,
Xingtai,China,CN,Hebei,"Xingtai, Hebei",,
Xi’an,China,CN,Shaanxi,"Xi’an, Shaanxi",,
Yantai,China,CN,Shandong,"Yantai, Shandong",,
Luoyang,China,CN,Henan,"Luoyang, Henan",,
Kunming,China,CN,Yunnan,"Kunming, Yunnan",,
Shangrao,China,CN,Jiangxi,"Shangrao, Jiangxi",,
Hangzhou,China,CN,Zhejiang,"Hangzhou, Zhejiang",,
Bijie,China,CN,Guizhou,"Bijie, Guizhou",,
Quanzhou,China,CN,Fujian,"Quanzhou, Fujian",,
Wuxi,China,CN,Jiangsu,"Wuxi, Jiangsu",,
Huanggang,China,CN,Hubei,"Huanggang, Hubei",,
Maoming,China,CN,Guangdong,"Maoming, Guangdong",,
Nanchong,China,CN,Sichuan,"Nanchong, Sichuan",,
Zunyi,China,CN,Guizhou,"Zunyi, Guizhou",,
Qujing,China,CN,Yunnan,"Qujing, Yunnan",,
Xinyang,China,CN,Henan,"Xinyang, Henan",,
Jieyang,China,CN,Guangdong,"Jieyang, Guangdong",,
Yulin,China,CN,Guangxi,"Yulin, Guangxi",,
Changde,China,CN,Hunan,"Changde, Hunan",,
Liaocheng,China,CN,Shandong,"Liaocheng, Shandong",,
Qingdao,China,CN,Shandong,"Qingdao, Shandong",,
Nangandao,China,CN,Henan,"Nangandao, Henan",,
Xiangyang,China,CN,Hubei,"Xiangyang, Hubei",,
Lu’an,China,CN,Anhui,"Lu’an, Anhui",,
Zhaotong,China,CN,Yunnan,"Zhaotong, Yunnan",,
Yichun,China,CN,Jiangxi,"Yichun, Jiangxi",,
Dezhou,China,CN,Shandong,"Dezhou, Shandong",,
Nanchang,China,CN,Jiangxi,"Nanchang, Jiangxi",,
Tai’an,China,CN,Shandong,"Tai’an, Shandong",,
Dazhou,China,CN,Sichuan,"Dazhou, Sichuan",,
Yongzhou,China,CN,Hunan,"Yongzhou, Hunan",,
Suihua,China,CN,Heilongjiang,"Suihua, Heilongjiang",,
Qiqihar,China,CN,Heilongjiang,"Qiqihar, Heilongjiang",,
Suzhou,China,CN,Anhui,"Suzhou, Anhui",,
Shantou,China,CN,Guangdong,"Shantou, Guangdong",,
Weinan,China,CN,Shaanxi,"Weinan, Shaanxi",,
Changzhou,China,CN,Jiangsu,"Changzhou, Jiangsu",,
Fuzhou,China,CN,Fujian,"Fuzhou, Fujian",,
Pudong,China,CN,Shanghai,"Pudong, Shanghai",,
Zhangzhou,China,CN,Fujian,"Zhangzhou, Fujian",,
Yuncheng,China,CN,Shanxi,"Yuncheng, Shanxi",,
Suzhou,China,CN,Jiangsu,"Suzhou, Jiangsu",,
Xianyang,China,CN,Shaanxi,"Xianyang, Shaanxi",,
Guilin,China,CN,Guangxi,"Guilin, Guangxi",,
Taizhou,China,CN,Jiangsu,"Taizhou, Jiangsu",,
Huaihua,China,CN,Hunan,"Huaihua, Hunan",,
Ji’an,China,CN,Jiangxi,"Ji’an, Jiangxi",,
Xiaoganzhan,China,CN,Hubei,"Xiaoganzhan, Hubei",,
Pingdingshan,China,CN,Henan,"Pingdingshan, Henan",,
Jiujiang,China,CN,Jiangxi,"Jiujiang, Jiangxi",,
Guiyang,China,CN,Guizhou,"Guiyang, Guizhou",,
Bozhou,China,CN,Anhui,"Bozhou, Anhui",,
Huizhou,China,CN,Guangdong,"Huizhou, Guangdong",,
Huai’an,China,CN,Jiangsu,"Huai’an, Jiangsu",,
Chenzhou,China,CN,Hunan,"Chenzhou, Hunan",,
Anqing,China,CN,Anhui,"Anqing, Anhui",,
Suqian,China,CN,Jiangsu,"Suqian, Jiangsu",,
Jiangmen,China,CN,Guangdong,"Jiangmen, Guangdong",,
Mianyang,China,CN,Sichuan,"Mianyang, Sichuan",,
Harbin,China,CN,Heilongjiang,"Harbin, Heilongjiang",,
Huanglongsi,China,CN,Henan,"Huanglongsi, Henan",,
Zibo,China,CN,Shandong,"Zibo, Shandong",,
Dalian,China,CN,Liaoning,"Dalian, Liaoning",,
Hengshui,China,CN,Hebei,"Hengshui, Hebei",,
Yibin,China,CN,Sichuan,"Yibin, Sichuan",,
Yangzhou,China,CN,Jiangsu,"Yangzhou, Jiangsu",,
Yiyang,China,CN,Hunan,"Yiyang, Hunan",,
Guigang,China,CN,Guangxi,"Guigang, Guangxi",,
Xinpu,China,CN,Jiangsu,"Xinpu, Jiangsu",,
Meizhou,China,CN,Guangdong,"Meizhou, Guangdong",,
